model,threshold,samples,mean_iou,median_iou,weighted_iou,mean_precision,mean_recall,mean_area_ratio_pred_to_obs,median_area_ratio_pred_to_obs,soft_iou_mean,soft_iou_median
cell_HGB_tabular,0.01,172,0.1260165194820771,0.06855140166406,0.1301153833438026,0.1890150891948969,0.6244494000241351,22.487122043207613,7.265889830508474,0.0772157706991271,0.0591990418279848
cell_HGB_tabular,0.02,172,0.1297547560259664,0.0837497172701663,0.1354556249343683,0.2136272503383517,0.5677197377185293,16.451318966357345,4.425454545454546,0.0772157706991271,0.0591990418279848
cell_HGB_tabular,0.05,172,0.1310189343295587,0.0950906678460858,0.1354688021354688,0.2528709682243512,0.4762747103821239,10.351389227548095,2.2532467532467533,0.0772157706991271,0.0591990418279848
cell_HGB_tabular,0.1,172,0.1267522243222863,0.0880260707635009,0.1276525993266842,0.2803998121052225,0.3949844162201988,6.6985212165831225,1.3701754385964913,0.0772157706991271,0.0591990418279848
cell_HGB_tabular,0.2,172,0.1124527573866226,0.0612403100775193,0.1088026409437133,0.2959909631874643,0.2949315557984998,3.952321768963658,0.5257799293069003,0.0772157706991271,0.0591990418279848
cell_HGB_tabular,0.3,172,0.0993440759201956,0.0487257976208252,0.0902300766922307,0.3104782428615382,0.2336600842927935,2.7199553854657115,0.2742310747928725,0.0772157706991271,0.0591990418279848
cell_HGB_tabular,0.5,172,0.0833133020443792,0.0102229188436085,0.0612233445566778,0.3092712421687444,0.1594539828914649,1.3314842357775205,0.0927947208846085,0.0772157706991271,0.0591990418279848
UNet_patch_pos_weight_5,0.01,172,0.04929884811365395,0.013109868376184955,0.04746154115060899,0.04949447869178814,0.98174576200871,235.67030488719092,73.49444444444444,,
UNet_patch_pos_weight_5,0.02,172,0.04849210910294418,0.014272921008912838,0.04813828778424716,0.05038230179134561,0.9374025318675032,200.62963889935045,63.2469696969697,,
UNet_patch_pos_weight_5,0.05,172,0.0546791423493177,0.018593912648616946,0.0589514013866076,0.061111341475542556,0.8403905778773655,123.39823482591271,38.10129310344828,,
UNet_patch_pos_weight_5,0.1,172,0.0632481069600934,0.026473932015872448,0.07122397267819765,0.07817501859676863,0.7384282882412679,78.4691366304002,18.985449735449734,,
UNet_patch_pos_weight_5,0.2,172,0.07424313606313937,0.034705495070173745,0.08237941639786962,0.10434126284864237,0.6177851783358711,54.79214409314974,11.25076923076923,,
UNet_patch_pos_weight_5,0.3,172,0.08038901322877276,0.038079654438633107,0.0873588957457696,0.12263640164147585,0.5560867779181301,46.27048880488998,7.918498168498168,,
UNet_patch_pos_weight_5,0.5,172,0.08271971016705522,0.03563633477518949,0.09012370868323274,0.14698274340656378,0.45567965552715944,37.02077700215296,4.026130291683878,,
